id,sessions,bearings,geometry
82_151,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,10.3|352.2,"POLYGON ((-183810 5826445, -183810 5826525, -183890 5826525, -183890 5826445, -183810 5826445))"
82_152,EL6W028_2022_05_19__20_10_41,352.2,"POLYGON ((-183810 5826525, -183810 5826605, -183890 5826605, -183890 5826525, -183810 5826525))"
82_153,EL6W028_2022_05_19__20_10_41,352.2,"POLYGON ((-183810 5826605, -183810 5826685, -183890 5826685, -183890 5826605, -183810 5826605))"
82_154,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,352.2|4.5,"POLYGON ((-183810 5826685, -183810 5826765, -183890 5826765, -183890 5826685, -183810 5826685))"
82_155,EL6W028_2022_05_19__20_10_41,4.5,"POLYGON ((-183810 5826765, -183810 5826845, -183890 5826845, -183890 5826765, -183810 5826765))"
82_156,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,4.5|358.5,"POLYGON ((-183810 5826845, -183810 5826925, -183890 5826925, -183890 5826845, -183810 5826845))"
82_157,EL6W028_2022_05_19__20_10_41,358.5,"POLYGON ((-183810 5826925, -183810 5827005, -183890 5827005, -183890 5826925, -183810 5826925))"
82_159,EL6W028_2022_05_19__20_10_41,358.0,"POLYGON ((-183810 5827085, -183810 5827165, -183890 5827165, -183890 5827085, -183810 5827085))"
82_160,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,358.0|4.1,"POLYGON ((-183810 5827165, -183810 5827245, -183890 5827245, -183890 5827165, -183810 5827165))"
82_161,EL6W028_2022_05_19__20_10_41,4.1,"POLYGON ((-183810 5827245, -183810 5827325, -183890 5827325, -183890 5827245, -183810 5827245))"
82_162,EL6W028_2022_05_19__20_10_41,4.1,"POLYGON ((-183810 5827325, -183810 5827405, -183890 5827405, -183890 5827325, -183810 5827325))"
82_163,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,4.1|356.5,"POLYGON ((-183810 5827405, -183810 5827485, -183890 5827485, -183890 5827405, -183810 5827405))"
82_164,EL6W028_2022_05_19__20_10_41,356.5,"POLYGON ((-183810 5827485, -183810 5827565, -183890 5827565, -183890 5827485, -183810 5827485))"
82_165,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,356.5|3.2,"POLYGON ((-183810 5827565, -183810 5827645, -183890 5827645, -183890 5827565, -183810 5827565))"
82_166,EL6W028_2022_05_19__20_10_41,3.2,"POLYGON ((-183810 5827645, -183810 5827725, -183890 5827725, -183890 5827645, -183810 5827645))"
82_167,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,3.2|356.7,"POLYGON ((-183810 5827725, -183810 5827805, -183890 5827805, -183890 5827725, -183810 5827725))"
82_168,EL6W028_2022_05_19__20_10_41,356.7,"POLYGON ((-183810 5827805, -183810 5827885, -183890 5827885, -183890 5827805, -183810 5827805))"
82_169,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,356.7|3.2,"POLYGON ((-183810 5827885, -183810 5827965, -183890 5827965, -183890 5827885, -183810 5827885))"
82_170,EL6W028_2022_05_19__20_10_41,3.2,"POLYGON ((-183810 5827965, -183810 5828045, -183890 5828045, -183890 5827965, -183810 5827965))"
83_29,EL6W028_2022_05_27__20_13_39,236.4,"POLYGON ((-183730 5816685, -183730 5816765, -183810 5816765, -183810 5816685, -183730 5816685))"
83_147,EL6W028_2022_05_19__20_10_41,349.7,"POLYGON ((-183730 5826125, -183730 5826205, -183810 5826205, -183810 5826125, -183730 5826125))"
83_148,EL6W028_2022_05_19__20_10_41,349.7,"POLYGON ((-183730 5826205, -183730 5826285, -183810 5826285, -183810 5826205, -183730 5826205))"
83_149,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,349.7|10.3,"POLYGON ((-183730 5826285, -183730 5826365, -183810 5826365, -183810 5826285, -183730 5826285))"
83_150,EL6W028_2022_05_19__20_10_41,10.3,"POLYGON ((-183730 5826365, -183730 5826445, -183810 5826445, -183810 5826365, -183730 5826365))"
83_151,EL6W028_2022_05_19__20_10_41,10.3,"POLYGON ((-183730 5826445, -183730 5826525, -183810 5826525, -183810 5826445, -183730 5826445))"
83_170,EL6W028_2022_05_19__20_10_41,3.2,"POLYGON ((-183730 5827965, -183730 5828045, -183810 5828045, -183810 5827965, -183730 5827965))"
83_171,EL6W028_2022_05_19__20_10_41,3.2,"POLYGON ((-183730 5828045, -183730 5828125, -183810 5828125, -183810 5828045, -183730 5828045))"
83_172,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,3.2|355.8,"POLYGON ((-183730 5828125, -183730 5828205, -183810 5828205, -183810 5828125, -183730 5828125))"
83_173,EL6W028_2022_05_19__20_10_41,355.8,"POLYGON ((-183730 5828205, -183730 5828285, -183810 5828285, -183810 5828205, -183730 5828205))"
83_174,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,355.8|3.0,"POLYGON ((-183730 5828285, -183730 5828365, -183810 5828365, -183810 5828285, -183730 5828285))"
83_175,EL6W028_2022_05_19__20_10_41,3.0,"POLYGON ((-183730 5828365, -183730 5828445, -183810 5828445, -183810 5828365, -183730 5828365))"
83_176,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,3.0|355.3,"POLYGON ((-183730 5828445, -183730 5828525, -183810 5828525, -183810 5828445, -183730 5828445))"
83_177,EL6W028_2022_05_19__20_10_41,355.3,"POLYGON ((-183730 5828525, -183730 5828605, -183810 5828605, -183810 5828525, -183730 5828525))"
83_178,EL6W028_2022_05_19__20_10_41|EL6W028_2022_05_19__20_10_41,355.3|8.9,"POLYGON ((-183730 5828605, -183730 5828685, -183810 5828685, -183810 5828605, -183730 5828605))"
83_179,EL6W028_2022_05_19__20_10_41,8.9,"POLYGON ((-183730 5828685, -183730 5828765, -183810 5828765, -183810 5828685, -183730 5828685))"
